Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
60321,Smart phones undermining parental tabs on internet use,"('Smart phones undermining parental tabs on internet use', 'the daily telegraph', '2011-04-11')",Average Twitter users may receive up to 17 'dangerous' Tweets per day,n-r->n-r,n-r,n-r,Scaled Abuse_Spam,,Twitter,,,,,,
45178,"India's curbs on Kashmir internet, media draw UN flak","(Net-Neutrality Debate Gets Nastier Online, wall street journal, 2017-05-12)","Bots, Denial of Service Are Latest Weapons in Net Neutrality Battle",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,,Online,https://www.wsj.com/articles/bots-denial-of-service-are-latest-weapons-in-net-neutrality-battle-1494533379,print edition as 'Net-Neutrality Debate Gets Nastier Online',"허위 이름 사용, 봇 계정 활동",,,
50152,Chief economic advisor's Twitter account gets hacked,"('Chief economic advisor's Twitter account gets hacked', 'the hindustan times', '2016-10-18')",Chief economic advisor’s Twitter account gets hacked,n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,,Twitter,https://www.hindustantimes.com/nation-newspaper/chief-economic-advisor-s-twitter-account-gets-hacked/story-SftmO6yAOAxNjwOtfwqqBP.html,n-r은 해커에 대한 정보가 전혀 없어서 n-r 처리. / 1-i: Chief economic advisor Arvind Subramanian,,,,
15241,Govts break Internet to stay on in power',"(Arrest Made In Attack That Slowed The Internet, new york times, 2013-04-27)",Dutch Man Said to Be Held in Powerful Internet Attack,1-r->1-i,1-r,1-i,Scaled Abuse_Hacking,Legal Action,Online,https://www.nytimes.com/2013/04/27/technology/dutch-man-said-to-be-arrested-in-powerful-internet-attack.html,,,,,
35834,Ayli Ghiya's Instagram account hacked; threatening messages sent to followers,"('Ayli Ghiya's Instagram account hacked; threatening messages sent to followers', 'the times of india', '2020-08-17')",Exclusive: Ayli Ghiya's Instagram account hacked; vulgar messages sent to followers,n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,,Instagram,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/exclusive-ayli-ghiyas-instagram-account-hacked-vulgar-messages-sent-to-followers/articleshow/77576078.cms,,,,,
,,"(Experts fear an age of mobile viruses, 2005)",Experts fear an age of mobile viruses,1-r->n-r,1-r,n-r,Scaled Abuse_Malware,,Online,,,,,,
65662,Is a history textbook full of 'sugar-coated lies' because it celebrates minorities? (Posted 2016-03-11 18:36:52),"('Is a history textbook full of 'sugar-coated lies' because it celebrates minorities? (Posted 2016-03-11 18:36:52)', 'the washington post', '2016-01-01')","Facebook gives $1,000 in ad credits for counter terror propaganda",1-i->S,1-i,S,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,,"테러 선전을 방지하는 데 기여한 사용자들에게 최대 1,000달러 상당의 광고 크레딧을 제공",,,,
14556,Facebook Says Hackers Breached Its Computers,"('Facebook Says Hackers Breached Its Computers', 'new york times', '2013-02-15')",Facebook Says Hackers Breached Its Computers,n-r->S,n-r,S,Scaled Abuse_Hacking,,Facebook,https://archive.nytimes.com/bits.blogs.nytimes.com/2013/02/15/facebook-admits-it-was-hacked/,,,,,
35933,Social media users outraged over Afghan migrant burning in Iran,"(Fake Facebook accounts mar debate on Philippine anti-terror bill, dpa international (english), 2020-06-07)",Fake Facebook accounts mar debate on Philippine anti-terror bill,n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.thestar.com.my/aseanplus/aseanplus-news/2020/06/07/fake-facebook-accounts-mar-debate-on-philippine-anti-terror-bill#goog_rewarded,,,,,
43719,Ukraine pro-Russian group slams Facebook for blocking,"('Ukraine pro-Russian group slams Facebook for blocking', 'bbc monitoring former soviet union', '2017-01-24')","In French Elections, Alt-Right Messages and Memes Don‚Äôt Translate",n-i->n-r,n-i,n-r,Scaled Abuse_Inauthentic Behavior,,4chan,,,,,,
