Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
63570,Army man' cons woman of Rs 14k in online furniture deal,"(Mumbai: 'Army man' cons woman of Rs 14,000 in online furniture deal, the times of india, 2020-02-09)","(Mumbai: 'Army man' cons woman of Rs 14,000 in online furniture deal, the times of india, 2020-02-09)",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,WhatsApp,https://timesofindia.indiatimes.com/city/mumbai/mumbai-army-man-cons-woman-of-rs-14000-in-online-furniture-deal/articleshow/74022193.cms
39907,Online 'friend' dupes Moshi woman of `16.6L,"(Online 'friend' dupes Pune woman of Rs 16.6 lakh, the times of india, 2023-09-13)","(Online 'friend' dupes Pune woman of Rs 16.6 lakh, the times of india, 2023-09-13)",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/pune/online-friend-dupes-moshi-woman-of-16-6l/articleshow/103593429.cms
39100,Payal Rohatgi detained by Rajasthan Police for objectionable comment on Jawaharlal Nehru,"(Payal Rohatgi's bail rejected over social media posts, sent to jail for 8 days, the hindustan times, 2019-12-16), (Payal Rohatgi released on bail in objectionable comments case, the hindustan times, 2019-12-17), (Payal Rohatgi sent to jail for nine days for Nehru posts, the times of india, 2019-12-17)","(Payal Rohatgi's bail rejected over social media posts, sent to jail for 8 days, the hindustan times, 2019-12-16)",1-i->1-i,1-i,1-i,Deceptive & Fraudulent Behavior_Defamation,Legal Action,"Facebook, Twitter, Instagram",https://www.hindustantimes.com/bollywood/payal-rohatgi-s-bail-rejected-over-social-media-posts-sent-to-jail-for-8-days/story-zEX3XaZansRD5st6eBsLfI.html
1437,Russian trolls are still using the anthem controversy to sow division on social media,"(Russian trolls' tweets cited in more than 100 UK news articles, the guardian, 2018-09-10)","(Russian trolls' tweets cited in more than 100 UK news articles, the guardian, 2018-09-10)",1-r->n-r,1-r,n-r,Deceptive & Fraudulent Behavior_Impersonation,,Twitter,https://www.theguardian.com/media/2018/sep/10/russian-trolls-tweets-cited-in-more-than-100-uk-news-articles
53326,"Section of electronic media has crossed the line, says Supreme Court","(SC: Section of electronic media has crossed the line, the times of india, 2018-03-16)","(SC: Section of electronic media has crossed the line, the times of india, 2018-03-16)",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Defamation,,Online,https://timesofindia.indiatimes.com/india/section-of-electronic-media-has-crossed-the-line-says-supreme-court/articleshow/63324298.cms
1118,Scary that you can be swindled online in less than 5 mins: Mahekk,"(Scary that you can be swindled online in less than 5 mins: Mahekk Chahal, the times of india, 2022-07-17), (Scary that you can be swindled online in less than 5 min: Mahekk, the times of india, 2022-07-16)","(Scary that you can be swindled online in less than 5 mins: Mahekk Chahal, the times of india, 2022-07-17)",1-r->1-i,1-r,1-i,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://timesofindia.indiatimes.com/tv/news/hindi/mahekk-chahal-it-is-scary-that-you-can-be-swindled-online-in-less-than-5-minutes-says-naagin-6-actress-mahekk-chahal-who-lost-49000-to-an-online-fraud/articleshow/92870973.cms
15142,Man posed as his wife online to lure woman into his bed,"(Sex predator posed as his wife online to lure woman into his bed, the daily telegraph, 2013-01-08)","(Sex predator posed as his wife online to lure woman into his bed, the daily telegraph, 2013-01-08)",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Impersonation,Violent Behavior,Badoo,https://www.telegraph.co.uk/news/uknews/crime/9786393/Man-posed-as-woman-online-before-raping-victim.html
23578,Some Media Companies Choose to Profit From Pirated YouTube Clips,"(Some media companies choose to profit from pirated YouTube clips, new york times, 2008-08-17)","(Some media companies choose to profit from pirated YouTube clips, new york times, 2008-08-17)",1-r->1-i,1-r,1-i,Deceptive & Fraudulent Behavior_Intellectual Property,Social Media policy change,Youtube,https://www.nytimes.com/2008/08/17/technology/17iht-16tube.15354521.html
64492,Sushma attacks Meira with her 2013 LS video,"(Swaraj attacks Meira with her 2013 LS video, the times of india, 2017-06-26)","(Swaraj attacks Meira with her 2013 LS video, the times of india, 2017-06-26)",1-i->1-i,1-i,1-i,Deceptive & Fraudulent Behavior_Defamation,,Twitter,https://www.onmanorama.com/in-depth/indian-president-election/2017/06/25/sushma-swaraj-posts-video-her-ls-speech-interrupted-meira-kumar.html
50511,Thai junta asks Google and YouTube to remove royal 'insults',"(Thai authorities launch online hunt for royal insults, dpa international (english), 2016-10-24)","(Thai authorities launch online hunt for royal insults, dpa international (english), 2016-10-24)",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Defamation,Remove Content,Google,https://www.bbc.com/news/world-asia-37738830
25011,The Court of Online Opinion Has Its Say on File Sharing,"(The Court of Online Opinion Has Its Say on File Sharing, new york times, 2005-06-20)","(The Court of Online Opinion Has Its Say on File Sharing, new york times, 2005-06-20)",1-i->n-r,1-i,n-r,Deceptive & Fraudulent Behavior_Intellectual Property,Legal Action,"Grokster, Streamcast",https://www.nytimes.com/2005/06/20/business/the-court-of-online-opinion-has-its-say-on-file-sharing.html
29025,‘It can be incredibly profitable’: the secret world of fake online reviews,"(Trade in fake reviews still ‘thriving’ on Facebook, says Which?, the guardian, 2023-04-21)","(Trade in fake reviews still ‘thriving’ on Facebook, says Which?, the guardian, 2023-04-21)",n-r->n-r,n-r,n-r,Deceptive & Fraudulent Behavior_Fraud,"Restriction on social media usage (content remove, ban, etc.)",Facebook,https://www.theguardian.com/money/2023/apr/21/trade-in-fake-reviews-still-thriving-on-facebook-says-which
16401,Millions of Fake Accounts Dog Twitter,"(Twitter Contends With Bogus Accounts, wall street journal, 2013-11-26)","(Twitter Contends With Bogus Accounts, wall street journal, 2013-11-26)",1-i->n-r,1-i,n-r,Deceptive & Fraudulent Behavior_Impersonation,platform reputation damage,Twitter,https://www.wsj.com/articles/bogus-accounts-dog-twitter-1385335134
